Date,Tweet
2020-12-05 13:33:50+00:00,"sejak #StartUpEp13 sebenernya udah pasrah bgt endingnya mau gimana, udah lempeng aja gitu nontonnya, lalu.. baca fans theory yg dukung jipyeong wkwk \xf0\x9f\x98\xad\xf0\x9f\xa4\xa3 masih boleh ngarep ga si hahah'"
2020-12-05 12:24:24+00:00,"b""I stopped at #StartUpEp13 and thats it! I sanggup tunggu JiPyeong's new drama as lead actor dari tengok sekarang tapi sakit hati. Malam ni baru nak tengok 2d1n \xf0\x9f\x98\x8d"""
2020-12-05 11:48:05+00:00,BALSEM HERBAL PAK LULUK 40 gram #stroke #syaraf kejepit #vertigo #keseleo #darah tdk lancar #asam urat seharga Rp. 28.000. Dapatkan produk ini hanya di Shopee! https://t.co/DC4fBNfzJg #ShopeeID\n#StartUpEp13 #StaySafe #Covid_19 #balsem #herbal #Instagram #Pilkada4HariLagi https://t.co/ncjCCGfL6c'
2020-12-05 11:08:45+00:00,SEKETIKA KAGETT \xf0\x9f\x98\xb6\xf0\x9f\x98\xb1 BTWW MIRIPZZZ KHAN??? #StartUpEp13 https://t.co/52SoeFdoxd'
2020-12-05 09:44:24+00:00,Belajar dulu sebelum temani mama nonton drakor #StartUpEp13 https://t.co/6sJ9goIXPH'
2020-12-05 09:31:24+00:00,kalian tim siapa?\n\n#namdosanteam #HanJiPyeongTeam #StartUpEp13 https://t.co/cgWmrnCToH'
2020-12-05 07:15:56+00:00,Wahh emosi sekali nonton #StartUpEp13 \xf0\x9f\xa4\xaf'
2020-12-05 06:45:34+00:00,GA KUATTTTTTTTTT \n\n#StartUpEp13 #TeamJiPyeong https://t.co/w8txmosa6A'
2020-12-05 04:12:27+00:00,Dari episode #StartUpEp13 gue cuma pokus ke kamu kamu kamu wkwkwkw . Intinya PAK HAN selalu dahh . Yg lain gue skip :))) #KimSeonHo3Mparty #StartUpEp15 https://t.co/MXTBoi5Ucv'
2020-12-05 03:35:12+00:00,BALSEM HERBAL PAK LULUK 40 gram #stroke #syaraf kejepit #vertigo #keseleo #darah tdk lancar #asam urat seharga Rp. 28.000. Dapatkan produk ini hanya di Shopee! https://t.co/9Hljre6kpX #ShopeeID\n#StartUpEp13 #Instagram #Facebook #seventeen #BreakingNews #balsem #herbal https://t.co/w18MmxuCgQ'
2020-12-05 02:53:57+00:00,"Pak Han ""jahatnya"" gitu doank? Ha ha\n#StartUpEp13'"
2020-12-05 02:21:20+00:00,"Jadi semngat baca nih, kalo lihat pak han ji begini. Kalo kalian gimana nih sobat bibli? \n\n#HanJiPyeongTeam \n#StartUp \n#StartUpEp13 \n#drakor\n#baca \n#bibliosmia https://t.co/NRPXQE8ehk'"
2020-12-04 13:23:25+00:00,"Okelah misalnya Jipyeong memang berjodoh sama In-Jae. Nah, Writer Nim ini bakal membuat alurnya seperti apa. Masa tiba-tiba loncat kayak #StartUpEp13 ? Cukuplah episode terburuk itu terjadi sekali saja.'"
2020-12-04 11:21:00+00:00,"#StartUpEp13 \n\nSandbox itu terinspirasi dr ayahnya seo dalmi yg bikin kotak pasir buat dalmi pas jatoh main ayunan. Tapi menurut gue, yg jadi Sandbox bagi dalmi adalah In Jae. Dia yg menopang dalmi pas jatoh krn samsantech bubar setelah diakuisisi'"
2020-12-04 11:04:59+00:00,Check-in tiap hari dan menangkan 60JT Koin Shopee! Ayo main #ArisanShopee sekarang! KHUSUS YG SERIUS CHECK IN TIAP HARI! :) #shopeegot7 #JISUNG #StartUpEp13 https://t.co/kTHkoLlvnF https://t.co/aWwEFw19wH'
