,Date,Tweet
88,2020-11-26 09:03:45+00:00,"b'#StartUpEp12 \nGua lupa ini haha, udh nntn dari kemarin, cmn di bogor gk ada sinyal jadi baru keinget.\nTernyata judulnya ngebug, kemarin episode 11 dan 12 judulnya ""episode 11/12"". Skrng udh berubah jadi keluar dan akuisisi bakat'"
89,2020-11-26 07:40:20+00:00,b'keknya air mata gua udah habis ggr #StartUpEp12'
90,2020-11-26 06:27:43+00:00,"b'Momen tersedih hari ini yang (mungkin) bikin aku pindah ke timnya Pak Han.  Sorry for u, Do San but I still love u. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #StartUpEp12 https://t.co/em4bzr0NPD'"
91,2020-11-26 05:56:07+00:00,b'Bingung si dal mi mau pilih siapa akhirnya pilihanya jatuh kpd babang #StartUpEp12 #starup #Dosan  #HanJipyeong https://t.co/CAedIEzOBh'
92,2020-11-26 05:16:30+00:00,"b'Baru nonton #StartUpEp12, terus belom apa-apa udah pengen nempeleng Dosan.'"
93,2020-11-26 04:56:01+00:00,b'Part yg paling \xf0\x9f\x92\x94\nSayangnya Jipypeong ke Halmeoni nih lebih2 dari dia sayang ke Dalmi yaa \xf0\x9f\x98\xad\n\nMakanya aku gapapa Dal Mi sama Do San ajaa\n\nJipyeong hidup bahagia sama Halmeoni \xf0\x9f\x98\xad \nBiar kalau Jipyeong ulang tahun ada yg masakin makanan dan nemenin main Go-stop \xf0\x9f\x98\xad\n\n#StartUpEp12 https://t.co/Zv3Epu50PW'
94,2020-11-26 04:40:03+00:00,b'Nyiahahaha\n\n#StartUpEp12\n#SeoDalmi\n#SecondLeadSyndrome\n#HanJiPyeongTeam https://t.co/HLDXJjhrWA'
95,2020-11-26 03:30:38+00:00,b'Mau gimana ceritanya aku tetap team nya pak han \xe2\x98\xb9\xef\xb8\x8f\n#StartUpEp12'
96,2020-12-13 17:00:01+00:00,b'Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
97,2020-11-26 03:09:38+00:00,"b'besok jumat, besoknya lagi eps 13 dan 14 \n#StartUpEp12'"
